158023,14/15,#Speedster
158023,14/15,#Dribbler
158023,14/15,#FK Specialist
158023,14/15,#Acrobat
158023,14/15,#Clinical Finisher
158023,14/15,#Complete Forward
20801,14/15,#Speedster
20801,14/15,#Dribbler
20801,14/15,#Distance Shooter
20801,14/15,#Acrobat
20801,14/15,#Clinical Finisher
20801,14/15,#Complete Forward
9014,14/15,#Speedster
9014,14/15,#Dribbler
9014,14/15,#Distance Shooter
9014,14/15,#Acrobat
41236,14/15,#Poacher
41236,14/15,#Aerial Threat
41236,14/15,#Distance Shooter
41236,14/15,#Acrobat
41236,14/15,#Strength
41236,14/15,#Clinical Finisher
41236,14/15,#Complete Forward
176580,14/15,#Acrobat
176580,14/15,#Clinical Finisher
41,14/15,#Dribbler
41,14/15,#Playmaker
183277,14/15,#Speedster
183277,14/15,#Dribbler
183277,14/15,#Acrobat
7826,14/15,#Distance Shooter
7826,14/15,#Clinical Finisher
121944,14/15,#Playmaker
121944,14/15,#Engine
121944,14/15,#Tactician
156616,14/15,#Dribbler
156616,14/15,#Acrobat
167397,14/15,#Aerial Threat
173731,14/15,#Speedster
173731,14/15,#Distance Shooter
188545,14/15,#Clinical Finisher
121939,14/15,#Engine
121939,14/15,#Tackling
121939,14/15,#Tactician
155862,14/15,#Tackling
155862,14/15,#Tactician
164240,14/15,#Tackling
164240,14/15,#Tactician
168542,14/15,#Dribbler
168542,14/15,#Playmaker
168542,14/15,#Acrobat
177003,14/15,#Dribbler
177003,14/15,#Playmaker
177003,14/15,#Acrobat
190871,14/15,#Speedster
190871,14/15,#Dribbler
190871,14/15,#Acrobat
178603,14/15,#Aerial Threat
178603,14/15,#Tackling
178603,14/15,#Tactician
178603,14/15,#Strength
178603,14/15,#Complete Defender
183898,14/15,#Speedster
183898,14/15,#Dribbler
183898,14/15,#Crosser
183898,14/15,#Acrobat
188350,14/15,#Speedster
188350,14/15,#Dribbler
188350,14/15,#Distance Shooter
188350,14/15,#FK Specialist
188350,14/15,#Acrobat
189596,14/15,#Engine
189596,14/15,#Clinical Finisher
153079,14/15,#Dribbler
153079,14/15,#Acrobat
176635,14/15,#Dribbler
176635,14/15,#Playmaker
10535,14/15,#Playmaker
10535,14/15,#FK Specialist
20289,14/15,#Strength
54050,14/15,#Engine
54050,14/15,#Distance Shooter
54050,14/15,#Clinical Finisher
139720,14/15,#Tackling
139720,14/15,#Tactician
139720,14/15,#Strength
139720,14/15,#Complete Defender
192318,14/15,#Dribbler
192318,14/15,#Playmaker
192318,14/15,#Acrobat
189511,14/15,#Tactician
182521,14/15,#Playmaker
182521,14/15,#Distance Shooter
182521,14/15,#Crosser
182521,14/15,#Complete Midfielder
165153,14/15,#Poacher
179844,14/15,#Strength
181872,14/15,#Engine
181872,14/15,#Tactician
177610,14/15,#Tackling
177610,14/15,#Tactician
178088,14/15,#Playmaker
178088,14/15,#Acrobat
183907,14/15,#Strength
143001,14/15,#Dribbler
143001,14/15,#Engine
143001,14/15,#Clinical Finisher
152729,14/15,#Tactician
143745,14/15,#Dribbler
143745,14/15,#Acrobat
184941,14/15,#Dribbler
184941,14/15,#Acrobat
188152,14/15,#Acrobat
165239,14/15,#Dribbler
177509,14/15,#Tackling
177509,14/15,#Tactician
177509,14/15,#Strength
177509,14/15,#Complete Defender
179846,14/15,#Tactician
179846,14/15,#Strength
7763,14/15,#Playmaker
7763,14/15,#FK Specialist
45197,14/15,#Playmaker
53302,14/15,#Tactician
138956,14/15,#Tackling
138956,14/15,#Strength
139869,14/15,#Playmaker
139869,14/15,#FK Specialist
146562,14/15,#Dribbler
146562,14/15,#Acrobat
148803,14/15,#Poacher
162895,14/15,#Playmaker
182493,14/15,#Tactician
195864,14/15,#Distance Shooter
195864,14/15,#Strength
197781,14/15,#Dribbler
186942,14/15,#Dribbler
186942,14/15,#Playmaker
186942,14/15,#Acrobat
193082,14/15,#Speedster
193082,14/15,#Dribbler
193082,14/15,#Acrobat
180206,14/15,#Playmaker
186561,14/15,#Engine
170890,14/15,#Engine
170890,14/15,#Tactician
168651,14/15,#Crosser
173221,14/15,#Distance Shooter
53612,14/15,#Aerial Threat
53612,14/15,#Tactician
53612,14/15,#Strength
112253,14/15,#Tactician
120533,14/15,#Tackling
137186,14/15,#Tackling
137186,14/15,#Tactician
140601,14/15,#Strength
142754,14/15,#Tackling
142754,14/15,#Tactician
146536,14/15,#Speedster
146536,14/15,#Acrobat
158133,14/15,#Dribbler
173210,14/15,#Engine
181783,14/15,#Aerial Threat
181783,14/15,#Strength
189358,14/15,#Dribbler
189358,14/15,#Acrobat
189362,14/15,#Distance Shooter
189362,14/15,#Strength
194765,14/15,#Acrobat
169416,14/15,#Dribbler
197445,14/15,#Acrobat
200949,14/15,#Speedster
200949,14/15,#Dribbler
200949,14/15,#Acrobat
175943,14/15,#Dribbler
175943,14/15,#Acrobat
191202,14/15,#Aerial Threat
193747,14/15,#Playmaker
196144,14/15,#Strength
172879,14/15,#Strength
180403,14/15,#Dribbler
180403,14/15,#Engine
180403,14/15,#Acrobat
183556,14/15,#Tackling
184144,14/15,#Dribbler
184144,14/15,#Acrobat
188428,14/15,#Speedster
185221,14/15,#Tackling
13743,14/15,#Distance Shooter
13743,14/15,#Crosser
136130,14/15,#Strength
136138,14/15,#FK Specialist
136138,14/15,#Acrobat
150418,14/15,#Poacher
150418,14/15,#Strength
159065,14/15,#Acrobat
161956,14/15,#Playmaker
163631,14/15,#Crosser
173771,14/15,#Engine
180432,14/15,#Distance Shooter
209119,14/15,#Aerial Threat
209119,14/15,#Strength
184881,14/15,#Dribbler
184881,14/15,#Acrobat
189242,14/15,#Dribbler
189242,14/15,#Acrobat
189509,14/15,#Dribbler
189509,14/15,#Acrobat
164859,14/15,#Speedster
189332,14/15,#Speedster
189332,14/15,#Acrobat
189712,14/15,#Engine
192883,14/15,#Dribbler
192883,14/15,#Acrobat
201942,14/15,#Dribbler
170369,14/15,#Dribbler
170369,14/15,#Acrobat
177457,14/15,#Engine
177457,14/15,#Tactician
189574,14/15,#Tactician
189963,14/15,#Strength
193130,14/15,#Dribbler
170733,14/15,#Speedster
170733,14/15,#Acrobat
177458,14/15,#Engine
177458,14/15,#Tackling
177458,14/15,#Tactician
178224,14/15,#Poacher
183285,14/15,#Strength
139068,14/15,#Dribbler
139068,14/15,#Acrobat
184943,14/15,#Engine
11141,14/15,#Poacher
30110,14/15,#Poacher
137262,14/15,#Engine
162131,14/15,#Aerial Threat
162131,14/15,#Strength
164435,14/15,#Dribbler
164435,14/15,#Acrobat
177326,14/15,#Acrobat
189513,14/15,#Playmaker
190531,14/15,#Strength
192505,14/15,#Strength
199556,14/15,#Acrobat
202652,14/15,#Speedster
205525,14/15,#Speedster
205525,14/15,#Acrobat
177413,14/15,#Acrobat
178562,14/15,#Playmaker
184111,14/15,#Strength
189575,14/15,#Dribbler
189575,14/15,#Acrobat
193348,14/15,#Dribbler
193348,14/15,#Acrobat
202166,14/15,#Dribbler
190483,14/15,#Dribbler
193352,14/15,#Crosser
199835,14/15,#Strength
177934,14/15,#Speedster
187607,14/15,#Aerial Threat
187607,14/15,#Strength
189250,14/15,#Strength
177600,14/15,#Distance Shooter
177600,14/15,#FK Specialist
179527,14/15,#Speedster
195086,14/15,#Strength
7631,14/15,#Dribbler
7631,14/15,#Crosser
20775,14/15,#Dribbler
