158023,14/15,93,89,86,96,27,63
20801,14/15,93,93,81,93,32,79
9014,14/15,93,86,83,93,32,64
41236,14/15,76,91,81,88,34,86
176580,14/15,83,87,79,90,42,79
41,14/15,75,72,89,92,59,63
183277,14/15,90,82,84,92,32,64
7826,14/15,74,90,82,84,33,68
121944,14/15,61,81,85,81,78,80
156616,14/15,89,78,85,92,29,62
167397,14/15,77,86,64,78,40,73
173731,14/15,94,83,83,87,63,81
188545,14/15,80,84,74,84,39,78
121939,14/15,76,56,84,80,87,67
155862,14/15,79,61,71,52,87,82
164240,14/15,78,57,72,68,90,80
168542,14/15,76,77,86,87,33,57
177003,14/15,76,74,85,86,71,70
198710,14/15,79,80,84,86,40,72
190871,14/15,90,80,72,94,30,58
178603,14/15,66,59,75,68,88,78
183898,14/15,90,79,83,88,57,71
188350,14/15,91,86,84,88,33,65
189596,14/15,81,84,82,78,46,72
153079,14/15,88,86,77,89,28,66
176635,14/15,74,74,86,87,27,58
10535,14/15,66,72,91,80,60,58
20289,14/15,76,82,81,81,80,90
54050,14/15,76,87,80,83,44,87
139720,14/15,73,56,69,64,87,81
192318,14/15,80,74,82,90,35,63
189511,14/15,56,59,78,74,81,81
182521,14/15,58,81,89,84,58,69
165153,14/15,84,84,75,82,30,74
179813,14/15,79,83,70,80,41,81
179844,14/15,82,83,63,82,40,88
181872,14/15,78,78,80,80,81,83
177610,14/15,53,61,72,65,84,85
178088,14/15,74,75,84,85,31,60
183907,14/15,77,50,66,67,83,82
143001,14/15,86,86,78,86,46,84
152729,14/15,66,54,69,50,86,76
143745,14/15,76,74,83,86,61,72
184941,14/15,88,81,75,88,39,66
188152,14/15,81,75,80,85,43,44
165239,14/15,79,76,84,86,39,60
177509,14/15,75,45,54,59,88,84
179846,14/15,56,69,74,60,83,86
167664,14/15,81,84,68,81,30,71
7763,14/15,43,69,91,78,55,59
45197,14/15,55,71,86,60,78,72
53302,14/15,68,71,79,73,82,84
138956,14/15,76,51,55,56,87,86
139869,14/15,75,80,87,84,48,63
146562,14/15,73,78,85,87,31,61
148803,14/15,68,85,64,69,32,73
162895,14/15,68,79,88,81,64,63
182493,14/15,67,48,62,53,86,78
195864,14/15,76,78,79,84,73,88
197781,14/15,76,76,82,86,32,62
186942,14/15,79,70,83,87,67,70
193082,14/15,93,77,76,89,57,71
171833,14/15,89,82,69,84,29,70
180206,14/15,72,75,85,83,63,66
186561,14/15,71,78,79,81,70,77
189505,14/15,83,76,78,84,37,60
170481,14/15,52,57,68,62,86,78
170890,14/15,78,67,76,73,84,82
168651,14/15,69,82,87,81,55,67
173221,14/15,85,79,82,85,57,74
13732,14/15,41,47,56,45,84,80
53612,14/15,31,41,57,39,87,76
112253,14/15,53,50,77,69,79,82
120533,14/15,73,51,58,58,84,83
137186,14/15,75,36,58,52,86,79
140601,14/15,52,39,55,43,84,83
142754,14/15,69,59,70,58,84,80
146439,14/15,73,83,68,78,39,82
146530,14/15,86,70,79,81,76,68
146536,14/15,91,71,78,83,29,53
158133,14/15,87,77,80,86,37,76
162347,14/15,74,75,83,81,71,72
168609,14/15,76,49,56,49,84,79
173210,14/15,79,76,81,82,74,79
180930,14/15,71,84,68,82,36,71
181783,14/15,75,82,61,75,43,87
189358,14/15,82,73,76,88,32,49
189362,14/15,85,87,80,84,43,86
190460,14/15,81,72,83,84,47,55
194765,14/15,85,77,76,86,30,68
169416,14/15,86,77,74,86,30,65
197445,14/15,86,70,81,81,79,72
200949,14/15,93,73,76,88,44,63
171877,14/15,73,77,81,81,58,70
186627,14/15,82,82,68,83,30,79
175943,14/15,88,77,80,87,37,53
176676,14/15,81,67,78,83,77,79
191202,14/15,67,70,76,78,80,85
193747,14/15,75,72,85,79,53,73
196144,14/15,82,81,66,77,43,85
162409,14/15,83,83,74,83,29,52
172871,14/15,72,67,74,67,82,81
172879,14/15,78,52,61,61,84,82
179784,14/15,66,50,65,60,83,78
180403,14/15,89,73,78,88,51,63
183556,14/15,71,57,58,48,83,79
184144,14/15,83,74,81,87,38,57
188428,14/15,93,82,68,86,38,73
179944,14/15,77,64,72,69,80,78
185221,14/15,72,58,72,70,83,82
13743,14/15,63,83,85,74,70,81
20800,14/15,85,76,81,85,33,56
49370,14/15,50,66,78,73,79,84
136130,14/15,54,64,53,53,84,83
136138,14/15,75,73,84,85,39,64
142784,14/15,74,52,74,73,83,82
146954,14/15,68,72,80,73,75,73
150418,14/15,75,82,60,69,30,79
152999,14/15,85,82,77,83,31,60
158625,14/15,64,56,72,68,83,76
159065,14/15,87,76,75,84,32,73
161956,14/15,71,74,85,79,65,67
163631,14/15,77,74,81,77,80,74
164169,14/15,82,62,76,77,81,77
164994,14/15,87,74,79,83,58,72
173771,14/15,81,67,73,74,81,82
180432,14/15,71,81,83,85,63,73
209119,14/15,53,47,56,44,81,85
184881,14/15,84,73,75,87,41,63
201535,14/15,76,45,60,57,83,76
212218,14/15,67,29,56,43,83,80
189242,14/15,81,68,81,87,33,50
189509,14/15,72,72,79,86,57,65
192985,14/15,77,80,80,82,41,69
164859,14/15,96,77,75,81,33,64
189332,14/15,92,69,75,80,78,76
189461,14/15,76,69,81,84,61,77
189712,14/15,67,72,79,75,75,83
192883,14/15,86,75,77,86,54,71
201942,14/15,77,77,77,87,33,67
170369,14/15,86,81,69,88,29,55
170797,14/15,55,69,84,81,67,59
172610,14/15,71,39,50,49,84,81
177457,14/15,68,65,75,73,81,81
181820,14/15,78,82,78,85,38,70
189574,14/15,67,66,77,72,77,80
189963,14/15,73,82,59,74,39,85
193130,14/15,88,83,75,86,37,67
170733,14/15,93,69,72,85,40,64
177458,14/15,66,56,68,60,85,82
178224,14/15,86,80,64,74,31,63
183285,14/15,68,33,60,50,80,83
139068,14/15,84,79,79,87,27,64
184943,14/15,88,69,77,82,79,73
9676,14/15,76,81,71,83,37,72
11141,14/15,70,77,63,73,32,63
30110,14/15,64,82,80,82,32,62
31432,14/15,67,83,75,77,36,78
34079,14/15,73,55,71,71,80,75
45574,14/15,53,78,81,81,37,63
49369,14/15,78,79,71,81,32,70
53578,14/15,71,51,72,65,78,82
135475,14/15,77,71,76,75,80,86
135507,14/15,78,74,80,80,73,76
137262,14/15,66,83,71,69,45,80
146758,14/15,76,81,68,75,42,75
148711,14/15,39,53,59,50,84,75
152039,14/15,73,65,66,56,83,77
155897,14/15,73,80,75,83,42,75
159287,14/15,60,71,83,73,68,73
162131,14/15,61,79,57,72,35,85
164435,14/15,80,72,82,86,42,55
164468,14/15,74,58,52,58,84,76
165229,14/15,81,40,62,62,83,75
166706,14/15,63,38,48,46,82,82
167943,14/15,68,75,82,74,71,73
177326,14/15,86,73,80,80,33,50
178372,14/15,67,60,63,57,86,83
207664,14/15,81,82,63,80,31,69
190813,14/15,87,76,72,83,33,60
189513,14/15,61,71,86,76,58,68
190531,14/15,76,40,59,60,79,85
192505,14/15,84,80,65,77,30,81
198329,14/15,86,80,69,79,33,71
199556,14/15,70,55,80,83,73,67
202652,14/15,93,69,70,84,46,62
204525,14/15,76,54,54,52,82,80
205525,14/15,90,71,76,85,37,39
177413,14/15,71,73,77,83,74,80
