158023,14/15,cf
20801,14/15,lw
20801,14/15,lm
9014,14/15,rm
9014,14/15,lm
9014,14/15,rw
41236,14/15,st
167495,14/15,gk
176580,14/15,st
176580,14/15,cf
41,14/15,cm
41,14/15,lw
183277,14/15,lm
183277,14/15,rm
7826,14/15,st
121944,14/15,cm
121944,14/15,cdm
156616,14/15,lm
167397,14/15,st
173731,14/15,rm
173731,14/15,rw
188545,14/15,st
188545,14/15,cf
121939,14/15,cdm
121939,14/15,rb
121939,14/15,cm
155862,14/15,cb
164240,14/15,cb
168542,14/15,lm
168542,14/15,cam
177003,14/15,cm
177003,14/15,cdm
198710,14/15,cam
198710,14/15,rw
190871,14/15,lw
192119,14/15,gk
178603,14/15,cb
183898,14/15,cam
183898,14/15,cm
183898,14/15,rm
188350,14/15,lm
188350,14/15,rm
188350,14/15,st
188350,14/15,cam
189596,14/15,rm
189596,14/15,cam
189596,14/15,st
189596,14/15,lm
153079,14/15,st
176635,14/15,cam
176635,14/15,lw
10535,14/15,cm
20289,14/15,cm
20289,14/15,cdm
54050,14/15,st
54050,14/15,cf
54050,14/15,cam
139720,14/15,cb
192318,14/15,cam
192318,14/15,cf
192318,14/15,cm
192318,14/15,rm
189511,14/15,cdm
189511,14/15,cm
182521,14/15,cm
182521,14/15,cdm
182521,14/15,cam
165153,14/15,st
179813,14/15,st
179813,14/15,rw
179844,14/15,st
181872,14/15,cm
181872,14/15,cdm
167948,14/15,gk
177610,14/15,cb
177610,14/15,cdm
177610,14/15,cm
178088,14/15,cam
178088,14/15,rm
183907,14/15,cb
183907,14/15,rb
48940,14/15,gk
143001,14/15,st
143001,14/15,cf
152729,14/15,cb
143745,14/15,lm
143745,14/15,rm
143745,14/15,cam
184941,14/15,rw
184941,14/15,st
188152,14/15,cam
188152,14/15,rm
165239,14/15,lm
165239,14/15,rm
177509,14/15,cb
179846,14/15,cdm
179846,14/15,cm
167664,14/15,st
168435,14/15,gk
5479,14/15,gk
